sex,age,famsize,Pstatus,Mjob,Fjob,guardian,traveltime,famrel,freetime,health,absences,G1,G2,G3
F,18.0,GT3,A,at_home,teacher,mother,2.0,4.0,3.0,3.0,4.0,0,11,Good
?,17.0,GT3,T,at_home,other,father,1.0,5.0,3.0,3.0,2.0,9,11,Good
F,15.0,LE3,T,at_home,other,mother,1.0,4.0,3.0,3.0,6.0,12,13,Good
F,15.0,GT3,T,health,services,mother,1.0,3.0,2.0,5.0,0.0,14,14,Very Good
F,16.0,GT3,T,other,other,father,1.0,4.0,,5.0,0.0,11,13,Good
M,16.0,LE3,T,services,other,mother,1.0,5.0,4.0,5.0,6.0,12,12,Good
M,16.0,LE3,T,other,other,mother,1.0,4.0,4.0,3.0,0.0,13,12,Good
F,17.0,GT3,A,other,teacher,mother,2.0,4.0,1.0,1.0,2.0,10,13,Good
M,15.0,LE3,A,services,other,mother,1.0,,2.0,1.0,0.0,15,16,Excellent
M,15.0,GT3,T,other,other,mother,1.0,5.0,5.0,5.0,0.0,12,12,Good
F,15.0,GT3,T,teacher,health,mother,1.0,3.0,3.0,2.0,2.0,14,14,Very Good
F,15.0,GT3,T,services,other,father,3.0,5.0,2.0,4.0,0.0,10,12,Good
M,15.0,LE3,T,health,services,father,1.0,4.0,3.0,5.0,0.0,12,13,Good
M,15.0,GT3,T,teacher,other,mother,2.0,5.0,4.0,3.0,0.0,12,12,Good
M,15.0,GT3,A,other,other,other,1.0,4.0,5.0,3.0,0.0,14,14,Very Good
F,16.0,GT3,T,health,other,mother,,4.0,4.0,2.0,6.0,17,17,Excellent
F,16.0,GT3,T,services,services,mother,1.0,3.0,2.0,2.0,10.0,13,13,Very Good
F,16.0,GT3,T,other,other,mother,3.0,5.0,3.0,4.0,2.0,13,14,Very Good
M,17.0,GT3,T,services,services,mother,1.0,5.0,5.0,5.0,2.0,8,8,Fair
M,16.0,LE3,T,health,other,father,1.0,3.0,1.0,5.0,6.0,12,12,Good
M,15.0,GT3,T,teacher,other,mother,1.0,4.0,4.0,1.0,0.0,12,13,Very Good
M,15.0,GT3,T,health,?,father,1.0,5.0,4.0,5.0,,11,12,Good
M,16.0,LE3,T,teacher,other,mother,1.0,4.0,,5.0,0.0,12,13,Very Good
M,16.0,LE3,T,other,other,mother,2.0,5.0,4.0,5.0,2.0,10,10,Good
F,15.0,GT3,T,services,health,mother,1.0,4.0,3.0,5.0,2.0,10,11,Good
F,16.0,GT3,T,services,services,mother,1.0,1.0,2.0,5.0,6.0,10,11,Good
M,15.0,GT3,T,other,other,mother,1.0,4.0,2.0,5.0,8.0,11,12,Good
M,15.0,GT3,T,health,services,mother,1.0,2.0,2.0,1.0,,11,11,Good
M,16.0,LE3,A,services,other,mother,1.0,5.0,3.0,5.0,2.0,12,12,Good
M,16.0,GT3,T,teacher,teacher,mother,1.0,4.0,4.0,5.0,4.0,12,11,Good
M,15.0,GT3,T,health,services,mother,1.0,5.0,4.0,5.0,0.0,10,11,Good
M,15.0,GT3,T,services,services,mother,2.0,4.0,3.0,5.0,2.0,15,15,Very Good
M,15.0,GT3,T,teacher,at_home,?,1.0,4.0,5.0,5.0,0.0,13,14,Very Good
M,15.0,LE3,T,other,other,mother,1.0,5.0,3.0,2.0,0.0,13,12,Good
?,16.0,GT3,T,other,other,mother,1.0,5.0,4.0,5.0,4.0,12,12,Good
F,15.0,GT3,?,other,other,father,2.0,3.0,5.0,5.0,4.0,11,11,Good
M,15.0,LE3,T,teacher,services,mother,,5.0,4.0,4.0,0.0,14,14,Very Good
M,16.0,GT3,A,other,teacher,mother,2.0,2.0,4.0,5.0,4.0,13,13,Good
F,15.0,GT3,T,services,health,mother,1.0,4.0,3.0,5.0,2.0,11,12,Good
F,15.0,GT3,T,at_home,other,mother,1.0,4.0,3.0,2.0,8.0,14,13,Good
F,16.0,LE3,T,other,other,mother,2.0,3.0,3.0,3.0,,11,11,Good
M,15.0,LE3,T,teacher,other,other,1.0,5.0,4.0,5.0,8.0,10,11,Good
M,15.0,GT3,T,services,teacher,father,1.0,4.0,3.0,5.0,0.0,14,15,Very Good
M,15.0,GT3,T,services,services,father,1.0,5.0,4.0,1.0,0.0,9,10,Good
F,16.0,LE3,T,other,at_home,father,2.0,4.0,3.0,5.0,14.0,10,11,Good
F,15.0,LE3,A,other,other,mother,1.0,5.0,2.0,5.0,4.0,10,11,Good
F,16.0,LE3,A,other,services,mother,1.0,2.0,3.0,3.0,6.0,13,12,Good
M,16.0,GT3,T,health,services,mother,1.0,4.0,2.0,2.0,2.0,17,17,Excellent
M,15.0,GT3,T,teacher,other,mother,1.0,4.0,3.0,5.0,4.0,11,12,Good
F,15.0,GT3,T,services,teacher,father,1.0,4.0,4.0,3.0,2.0,13,12,Good
F,16.0,LE3,T,services,services,mother,3.0,,3.0,4.0,0.0,14,13,Good
F,15.0,LE3,T,health,other,mother,1.0,4.0,3.0,5.0,0.0,16,14,Very Good
M,15.0,LE3,A,health,health,father,2.0,5.0,5.0,5.0,,10,9,Fair
F,15.0,GT3,T,services,services,mother,,3.0,3.0,,0.0,13,12,Good
F,15.0,LE3,A,other,other,mother,1.0,5.0,3.0,1.0,0.0,13,12,Good
F,16.0,GT3,A,other,other,mother,1.0,5.0,3.0,2.0,2.0,12,13,Good
F,15.0,GT3,A,services,services,mother,1.0,4.0,3.0,1.0,0.0,15,14,Very Good
M,15.0,GT3,T,teacher,health,mother,1.0,3.0,2.0,5.0,8.0,15,15,Very Good
M,15.0,LE3,T,other,at_home,father,1.0,4.0,,5.0,0.0,14,13,Very Good
F,16.0,GT3,T,services,other,mother,1.0,4.0,2.0,5.0,2.0,16,15,Very Good
F,16.0,GT3,T,health,teacher,mother,1.0,2.0,4.0,4.0,0.0,17,16,Very Good
F,16.0,GT3,T,services,services,father,4.0,5.0,5.0,5.0,0.0,10,10,Very Good
F,16.0,LE3,T,other,services,father,1.0,4.0,4.0,,0.0,13,13,Good
F,16.0,GT3,T,teacher,health,mother,1.0,3.0,4.0,4.0,0.0,14,13,Good
F,15.0,LE3,T,services,services,father,1.0,4.0,4.0,2.0,0.0,13,12,Good
F,16.0,LE3,T,teacher,services,mother,3.0,5.0,4.0,1.0,2.0,16,15,Very Good
M,15.0,GT3,A,other,services,mother,1.0,1.0,3.0,3.0,0.0,11,12,Good
F,16.0,GT3,T,services,other,mother,1.0,4.0,3.0,5.0,0.0,10,9,Good
?,15.0,LE3,T,health,services,mother,2.0,4.0,1.0,4.0,0.0,11,10,Good
F,15.0,LE3,T,other,other,father,2.0,4.0,4.0,3.0,6.0,15,15,Very Good
M,16.0,GT3,T,other,other,father,2.0,4.0,3.0,5.0,2.0,13,11,Good
M,15.0,GT3,T,?,other,mother,1.0,3.0,3.0,3.0,0.0,11,9,Good
F,15.0,GT3,T,other,other,mother,1.0,3.0,3.0,5.0,2.0,13,11,Good
M,16.0,GT3,T,other,other,mother,1.0,5.0,3.0,5.0,0.0,13,13,Very Good
F,16.0,GT3,T,other,services,mother,1.0,4.0,3.0,5.0,4.0,11,11,Good
M,15.0,GT3,T,teacher,other,mother,1.0,4.0,,5.0,0.0,11,11,Good
M,15.0,GT3,T,teacher,other,mother,2.0,3.0,4.0,1.0,0.0,12,11,Good
F,16.0,GT3,T,other,other,mother,1.0,5.0,2.0,3.0,1.0,13,13,Good
M,17.0,GT3,T,other,other,mother,2.0,4.0,5.0,3.0,0.0,9,9,Good
